cluster_id,cluster_name,pivot_keyword,keywords_count,avg_search_volume,avg_cpc,avg_difficulty,opportunity_score
1,tuyau pvc diametre 60 mm,tuyaux 50 mm,5,,,,
51,manometre eau pression,robinet pression,11,,,,
122,citerne eau de pluie enterree,citerne eau de pluie enterré,6,,,,
33,comment fonctionne un relais,fonction du relais,8,,,,
53,pas de pression dans la douche,pression douche,15,,,,
75,pompe relevage eaux usées prix,pompe à eau prix,8,,,,
23,jerrican 10l,jerrican 10l,11,,,,
117,pompe à eau pour cuve,pompe cuve eau,8,,,,
100,pompe vide cave serpillère,pompe pour vide cave,5,,,,
10,jerrican metal,jerrican metal,6,,,,
54,tarif degazage cuve fuel,prix degazage cuve fuel,7,,,,
